afferenet,animal,use,popCode,dontUSE,figure,cell,treatment,treatment_text,treatment_class,Cancer,Chemotherapy,note,#NAME?,autoClass,manualClass,high_firing_Hz,receptiveField,Trial#,TrigStart.R,ms.F,Dyn.pfr,stat.halfHold,stat.firstSpikeHold,Stat.HzEnd,dyn.halfRamp,Stat.pps,Stat.avg,Stat.HzSTD,Dyn.IB,Thr.T,Thr.F,Thr.L,Stat.LSpkT,Stat.LSpkF,Dyn.spkNum,Stat.spkNum,Dyn.DI,Dyn.slp,Stat.slp,cond_delay
A100401_22_153_8,A100401_22_153,,,,,8,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,45.340998,2.874308,145.687646,0.078123,0.078123,145.687646,159.033079,0.078123,0,0,0,19.952,8.043719,0.112878,-16.896,15.687488,3,0,145.609523,10873.62773,0,
A100401_22_153_9,A100401_22_153,,,,,9,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,57.699,2.205454,66.348195,0.071064,64.699793,40.296583,66.348195,0.071064,52.498188,17.255675,0,22.526,9.041908,0.137265,27.87,22.216797,3,2,66.277131,4394.522079,0,
A100401_22_153_9,A100401_22_153,,,,,9,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,71.829999,2.231278,0.071064,0.0709,30.502684,30.502684,30.502684,0.0709,30.502684,0,0,18.599,6.956147,0.058751,1.383,22.064209,2,1,0.000165,0,0,
A100401_22_153_9,A100401_22_153,,,,,9,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,85.960998,2.105986,0.0709,0.071754,5.027349,5.027349,0.0709,0.071754,5.027349,0,0,24.848,10.35772,0.084413,173.76,22.293091,1,1,-0.000855,0,0,
A100401_22_153_11,A100401_22_153,,,,,11,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,73.468998,2.169271,117.041199,0.227138,21.929825,0.227138,0.07481,0.125577,13.607399,10.228279,0,26.528,9.528225,0.178803,5634.48,21.44205,3,7,116.81406,5256.331739,-17.923114,
A100401_22_153_11,A100401_22_153,,,,,11,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,87.6,2.220024,1.911666,0.070738,0.070738,1.911666,1.911666,0.070738,0,0,0,39.83,15.671995,0.236803,-10.17,17.892019,1,0,1.840928,0,0,
A100401_22_153_11,A100401_22_153,,,,,11,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,101.730999,2.14676,0.070738,0.066039,0.066039,0.070738,0.070738,0.066039,0,0,0,45.455,18.649516,0.241353,-4.545,20.796277,1,0,0.004699,0,0,
A100401_22_153_12,A100401_22_153,,,,,12,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,21.696999,0.877806,0.070828,0.070741,0.070741,0.070828,0.070828,0.070741,0,0,0,27.887,10.69217,0.672952,-22.113,11.569977,1,0,0.000088,0,0,
A100401_22_153_12,A100401_22_153,,,,,12,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,35.827998,0.827601,0.070741,0.070726,0.070726,0.070741,0.070741,0.070726,0,0,0,33.032,13.15817,0.746746,-16.968,13.985771,1,0,0.000015,0,0,
A100401_22_153_12,A100401_22_153,,,,,12,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,49.959,0.809608,0.070726,0.055396,0.055396,0.070726,0.070726,0.055396,0,0,0,41.102,15.609939,0.821751,-8.898,16.419548,1,0,0.01533,0,0,
A100401_22_153_13,A100401_22_153,,,,,13,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,55.171998,0.582855,104.690117,0.071563,70.382883,38.580247,110.229277,0.071563,51.692115,12.178257,226.449275,7.976,3.216219,0.158859,118.44,19.97866,6,6,104.618554,-660.59762,-590.624365,
A100401_22_153_13,A100401_22_153,,,,,13,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,69.303,0.638665,106.292517,0.071127,57.87037,51.187551,137.061404,0.071127,54.528961,4.725467,0,11.102,5.115352,0.165262,33.87,20.131794,5,2,106.22139,-198.332677,0,
A100401_22_153_13,A100401_22_153,,,,,13,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,83.433999,0.775512,112.612613,0.078583,99.206349,47.134238,124.007937,0.078583,68.564938,27.230573,0,12.167,4.356528,0.190133,38.439,20.573026,5,3,112.534029,1324.571832,0,
A100401_22_153_14,A100401_22_153,,,,,14,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,108.463998,3.802868,0.146798,0.070895,23.782344,23.782344,0.146798,0.070895,23.782344,0,0,32.6,13.057367,0.261909,24.648,23.729415,1,1,0.075903,0,0,
A100401_22_153_14,A100401_22_153,,,,,14,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,122.595,3.795253,0.070895,0.070747,0.070747,0.070895,0.070895,0.070747,0,0,0,48.926,19.252602,0.163506,-1.074,23.047855,1,0,0.000149,0,0,
A100401_22_153_14,A100401_22_153,,,,,14,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,136.725999,3.681048,0.070895,0.081873,0.070747,0.070747,0.070747,0.081873,0.070747,0,0,52.823,20.080519,0.16644,2.823,23.761567,1,1,-0.010978,0,0,
A100401_22_153_15,A100401_22_153,,,,,15,2,pirc,pirc_ra2,1,0,,2,ra2,,,,,2.669031,8.784586,154.320988,0.099848,0.099848,88.276836,154.320988,88.276836,0.099848,0,239.463602,-20.497,-2.877618,-0.08498,10001.439,6.244659,7,4,154.221139,8930.612711,0,
A100401_22_153_15,A100401_22_153,1,1,,,15,2,pirc,pirc_ra2,1,0,,2,ra2,,,,,16.764999,0.412555,112.612613,0.099688,0.099688,112.612613,179.597701,0.099688,0,0,365.497076,5.999,1.702967,0.077336,-6.177,17.858233,6,4,112.512925,837.74684,0,
A100401_22_153_15,A100401_22_153,,,,,15,2,pirc,pirc_ra2,1,0,,2,ra2,,,,,30.895998,0.563969,134.408602,0.099561,0.099561,134.408602,114.468864,0.099561,0,0,330.687831,5.912,1.229484,0.072518,-13.512,14.784677,5,4,134.309041,2879.667142,0,
A100401_22_153_16,A100401_22_153,,,,,16,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,55.522998,0.899807,42.955326,0.070932,0.070932,42.955326,42.955326,0.070932,0,0,0,14.864,5.280548,0.55655,-3.168,18.786295,3,0,42.884394,-3099.053379,0,
A100401_22_153_16,A100401_22_153,,,,,16,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,69.654,0.91207,42.517007,0.070931,0.070931,42.517007,42.517007,0.070931,0,0,0,13.814,6.104793,0.562819,-3.978,19.343421,3,0,42.446075,-3086.066426,0,
A100401_22_153_16,A100401_22_153,,,,,16,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,83.784999,0.922072,40.21879,0.069252,0.069252,40.21879,40.21879,0.069252,0,0,0,13.151,5.139845,0.503484,-2.337,19.399008,3,0,40.149538,-2551.063157,0,
A100401_22_153_17,A100401_22_153,,,,,17,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,80.755998,1.386311,129.399586,0.071379,78.320802,41.750167,138.888889,0.071379,57.080426,14.424596,0,18.104,7.695938,0.215913,90.696,20.51072,5,5,129.328207,3101.105298,-940.329131,
A100401_22_153_17,A100401_22_153,,,,,17,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,94.887,1.253919,119.731801,0.071327,124.007937,37.741546,133.547009,0.071327,65.935558,34.04423,0,19.502,8.093724,0.226864,82.302,21.257128,5,5,119.660473,4429.024363,-3842.751703,
A100401_22_153_17,A100401_22_153,,,,,17,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,109.017999,1.34347,119.731801,0.070734,115.101289,39.68254,136.165577,0.070734,69.633771,32.621285,0,21.143,7.986007,0.241833,61.239,20.350865,5,4,119.661067,4396.640894,0,
A100401_22_153_18,A100401_22_153,,,,,18,2,pirc,pirc_sa1,1,0,,3,sa1,,,,,92.409,1.867062,166.666667,0.274636,145.687646,15.375154,0.287952,1.039484,24.188673,44.172488,0,26.846,10.379933,0.116778,9096.03,20.773388,5,12,166.392031,8070.721673,-8.720377,
A100401_22_153_18,A100401_22_153,,,,,18,2,pirc,pirc_sa1,1,0,,3,sa1,,,,,106.539999,1.920424,137.969095,1.158502,148.809524,0.548607,0.246601,0.492467,33.177692,55.413535,0,32.183,12.793589,0.120358,8026.791,21.201724,4,11,136.810593,9370.318966,-21.761928,
A100401_22_153_18,A100401_22_153,,,,,18,2,pirc,pirc_sa1,1,0,,3,sa1,,,,,120.670998,1.858206,120.423892,0.327599,120.423892,0.385453,0.247265,0.92952,28.024079,50.6061,0,34.256,13.89613,0.128126,8981.232,21.293095,3,11,120.096293,14472.13715,-12.561834,
A100401_22_153_19,A100401_22_153,,,,,19,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,16.531998,0.7115,0.070769,0.070732,0.070732,0.070769,0.070769,0.070732,0,0,0,40.76,15.790517,1.00921,-9.24,16.502017,1,0,0.000037,0,0,
A100401_22_153_19,A100401_22_153,,,,,19,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,30.663,0.796713,0.070732,0.070774,0.070774,0.070732,0.070732,0.070774,0,0,0,47.678,18.777044,1.065854,-2.322,19.573757,1,0,-0.000043,0,0,
A100401_22_153_19,A100401_22_153,,,,,19,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,44.793999,0.703506,0.070774,0.045521,0.045521,0.070774,0.070774,0.045521,0,0,0,46.103,18.152179,1.025257,-3.897,18.855685,1,0,0.025254,0,0,
A100401_22_153_20,A100401_22_153,,,,,20,2,pirc,pirc_sa1,1,0,,3,sa1,,,,,96.780999,0.851985,202.265372,1.821733,170.765027,7.988241,242.248062,3.187962,25.980297,36.671233,277.777778,11.423,4.720016,0.322677,9741.327,20.389557,10,86,200.44364,-2968.658043,-3.429253,
A100401_22_153_20,A100401_22_153,,,,,20,2,pirc,pirc_sa1,1,0,,3,sa1,,,,,110.911998,0.780228,181.15942,2.568212,173.611111,79.214195,234.082397,2.601565,25.664347,32.320756,242.248062,11.48,4.308759,0.305234,9670.968,20.377567,10,95,178.591209,-1386.723214,-4.34889,
A100401_22_153_20,A100401_22_153,,,,,20,2,pirc,pirc_sa1,1,0,,3,sa1,,,,,125.043,0.933925,172.176309,2.394911,173.611111,2.171043,231.481481,6.04215,29.436669,36.157186,231.481481,11.822,4.48349,0.344501,9891.294,19.992101,9,97,169.781397,-1926.215922,-5.856908,
A100401_22_153_21,A100401_22_153,,,,,21,2,pirc,pirc_ra2,1,0,,2,ra2,,,,,103.339998,0.637236,77.447336,0.099782,0.099782,77.447336,83.001328,0.099782,0,0,385.802469,6.92,1.225426,0.125727,-1.704,19.880931,8,5,77.347554,-6609.57277,0,
A100401_22_153_21,A100401_22_153,,,,,21,2,pirc,pirc_ra2,1,0,,2,ra2,,,,,117.471,0.696677,45.989698,0.099797,189.393939,189.393939,45.989698,0.099797,189.393939,0,400.641026,7.454,3.029011,0.167967,0.654,20.580474,8,6,45.889902,-8316.162962,0,
A100401_22_153_21,A100401_22_153,,,,,21,2,pirc,pirc_ra2,1,0,,2,ra2,,,,,131.601999,0.640754,181.15942,0.099732,0.099732,181.15942,97.809077,0.099732,0,0,400.641026,7.751,2.796652,0.193346,-4.953,18.031166,8,5,181.059689,-3718.931607,0,
A100401_22_153_22,A100401_22_153,,,,,22,2,pirc,pirc_sa1,1,0,,3,sa1,,,,,75.519999,1.231197,162.760417,2.534777,164.041995,2.524029,165.343915,5.790254,22.448225,30.336007,0,13.607,4.920093,0.093112,9855.111,21.10672,7,76,160.22564,1382.834423,-2.966332,
A100401_22_153_22,A100401_22_153,,,,,22,2,pirc,pirc_sa1,1,0,,3,sa1,,,,,89.650998,1.077587,162.760417,2.834853,142.694064,11.918383,127.03252,3.657537,22.561207,30.949632,0,22.928,9.107836,0.120418,9735.888,20.614624,5,77,159.925564,6995.602691,-4.369184,
A100401_22_153_22,A100401_22_153,,,,,22,2,pirc,pirc_sa1,1,0,,3,sa1,,,,,103.782,1.176429,152.068127,10.833767,306.372549,23.122457,2.034704,21.433471,27.310202,54.652742,306.372549,24.806,9.56158,0.123522,9969.414,20.903814,6,76,141.23436,6631.045959,-5.99173,
A100401_22_153_23,A100401_22_153,,,,,23,2,pirc,pirc_ra2,1,0,,2,ra2,,,,,61.312998,1.504732,111.4082,0.09964,44.420753,44.420753,111.4082,0.09964,44.420753,0,0,4.976,1.868186,0.028752,3.072,20.509447,5,4,111.30856,-2857.977258,0,
A100401_22_153_23,A100401_22_153,,,,,23,2,pirc,pirc_ra2,1,0,,2,ra2,,,,,77.992998,1.569315,178.062678,0.099644,56.921676,56.921676,140.765766,0.099644,56.921676,0,219.298246,7.52,3.355822,0.028074,1.392,20.861125,6,4,177.963034,5240.294221,0,
A100401_22_153_23,A100401_22_153,,,,,23,2,pirc,pirc_ra2,1,0,,2,ra2,,,,,92.124,1.62043,39.987204,0.099446,0.099446,39.987204,39.987204,0.099446,0,0,204.248366,5.846,2.348126,0.046292,-14.25,16.58594,3,2,39.887758,0,0,
A100401_22_153_24,A100401_22_153,,,,,24,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,71.002998,0.665844,63.90593,0.070901,0.070901,63.90593,90.975255,0.070901,0,0,0,18.512,8.295244,0.791121,-4.848,17.866953,3,0,63.835029,2111.928899,0,
A100401_22_153_24,A100401_22_153,,,,,24,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,85.134,0.715769,54.680665,0.070853,0.070853,54.680665,54.680665,0.070853,0,0,0,18.278,7.08565,0.577562,-13.434,15.232995,2,0,54.609811,2986.098189,0,
A100401_22_153_24,A100401_22_153,,,,,24,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,99.264999,0.659336,0.070853,0.035254,0.035254,0.070853,0.035254,0.035254,0,0,0,19.199,7.919192,0.539504,-30.801,8.578528,1,0,0.035599,0,0,
A100401_22_153_25,A100401_22_153,,,,,25,2,pirc,pirc_sa1,1,0,,3,sa1,,,,,56.091,0.626608,219.298246,0.783945,224.014337,1.107744,214.776632,0.214231,34.793488,60.377721,274.122807,8.366,3.094539,0.113327,9422.19,20.115262,12,24,218.514301,-143.939691,-12.258787,
A100401_22_153_25,A100401_22_153,,,,,25,2,pirc,pirc_sa1,1,0,,3,sa1,,,,,70.221999,0.624947,231.481481,0.625156,194.70405,6.770664,219.298246,0.075067,36.34649,60.731591,251.004016,9.047,3.656779,0.003662,9002.535,20.761399,11,23,230.856325,882.762171,-11.937466,
A100401_22_153_25,A100401_22_153,,,,,25,2,pirc,pirc_sa1,1,0,,3,sa1,,,,,92.583,0.734399,285.388128,1.054158,219.298246,1.178489,260.416667,0.41377,16.728857,35.46803,285.388128,12.974,4.525887,0.204953,9983.55,20.327432,11,42,284.333969,1445.512868,-5.313618,
A100401_22_153_26,A100401_22_153,,,,,26,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,47.647998,1.070299,164.041995,0.071198,168.010753,37.335723,200.320513,0.071198,105.995502,53.650719,212.585034,7.592,2.936042,0.152819,45.768,21.014076,9,4,163.970796,-1524.319962,0,
A100401_22_153_26,A100401_22_153,,,,,26,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,61.779,1.029547,157.828283,0.0711,33.548041,33.548041,157.828283,0.0711,33.548041,0,0,10.046,4.012937,0.143356,27.726,20.395008,7,1,157.757183,152.956925,0,
A100401_22_153_26,A100401_22_153,,,,,26,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,75.909999,1.056624,110.229277,0.070951,0.070951,110.229277,146.713615,0.070951,0,0,0,11.399,5.238716,0.151741,-1.209,20.57575,6,0,110.158326,-743.847882,0,
A100401_22_153_27,A100401_22_153,,,,,27,2,pirc,pirc_sa1,1,0,,3,sa1,,,,,99.642,0.436415,254.065041,0.79356,242.248062,4.124596,341.530055,1.320655,39.522275,60.017187,400.641026,15.494,7.331762,0.853742,9285.126,20.572844,13,46,253.271481,-4221.894744,-7.784458,
A100401_22_153_27,A100401_22_153,,,,,27,2,pirc,pirc_sa1,1,0,,3,sa1,,,,,113.772999,0.555943,231.481481,1.586576,234.082397,3.029422,248.015873,4.637875,33.014181,60.401766,297.619048,13.151,5.644756,0.478512,9820.959,19.108,11,50,229.894905,-802.38575,-9.298139,
A100401_22_153_27,A100401_22_153,,,,,27,2,pirc,pirc_sa1,1,0,,3,sa1,,,,,127.903998,0.541343,217.013889,0.979931,234.082397,4.177528,242.248062,5.310562,32.20502,57.160415,251.004016,14.168,6.431197,0.477801,9849.528,20.291646,10,43,216.033958,-902.227117,-11.008937,
A100401_22_153_28,A100401_22_153,,,,,28,2,pirc,pirc_sa1,1,0,,3,sa1,,,,,68.538999,1.112681,289.351852,32.860147,267.094017,8.472279,208.333333,0.242026,35.673953,34.858317,289.351852,17.519,7.099454,0.354793,9962.511,21.035695,9,196,256.491705,8372.563732,-3.724029,
A100401_22_153_28,A100401_22_153,,,,,28,2,pirc,pirc_sa1,1,0,,3,sa1,,,,,82.669998,1.09061,208.333333,18.195051,196.540881,3.993355,125.502008,6.394516,35.245079,32.638444,208.333333,13.304,5.836334,0.297143,9860.808,20.059495,7,179,190.138282,5277.646166,-3.225056,
A100401_22_153_28,A100401_22_153,,,,,28,2,pirc,pirc_sa1,1,0,,3,sa1,,,,,96.801,1.13984,196.540881,8.835171,173.611111,68.306011,0.24621,6.584492,37.590901,40.843943,0,25.262,9.577279,0.446719,9888.558,20.904541,6,175,187.705709,7648.609694,-4.346693,
A100401_22_153_29,A100401_22_153,,,,,29,2,pirc,pirc_ra2,1,0,,2,ra2,,,,,57.768,1.010596,168.010753,0.327146,169.376694,0.327146,85.382514,0.161048,33.446134,52.856228,0,23.654,9.746486,0.08126,7895.142,20.117079,5,11,167.683606,6679.76559,-16.395175,
A100401_22_153_29,A100401_22_153,,,,,29,2,pirc,pirc_ra2,1,0,,2,ra2,,,,,71.898999,1.192153,87.168759,0.088156,60.038425,1.030078,87.168759,0.088156,13.823653,23.291067,0,23.471,9.162934,0.103432,2759.823,20.664215,3,6,87.080603,7584.35414,-27.458188,
A100401_22_153_29,A100401_22_153,,,,,29,2,pirc,pirc_ra2,1,0,,2,ra2,,,,,86.029998,1.147748,104.690117,0.123507,0.123507,0.123507,96.006144,0.094331,0.123507,0,0,22.376,8.861291,0.084687,8089.08,21.123795,3,1,104.566611,5298.183136,0,
A100401_22_154_1,A100401_22_154,1,1,,,1,2,pirc,pirc_sa2,1,0,,4,sa2,sa2,,,,129.0524993,-0.037848,120.6172398,60.14267175,209.183767,49.54056375,0.24285675,40.93335275,67.39131475,18.804203,0,36.46475,14.3149885,0.29642225,9994.50075,19.3775495,3.5,636.5,60.474568,10490.49382,-5.1016945,
A100401_22_158_2,A100401_22_158,1,,,,2,3,ox,ox_ra1,0,1,,1,ra1,,,,,119.673999,0.483953,257.201646,0.071196,0.071196,257.201646,0.071196,0.071196,0,0,257.201646,8.855,22.430933,1.506557,-37.257,21.045685,2,0,257.13045,0,0,
A100401_22_158_2,A100401_22_158,0,,,,2,3,ox,ox_ra1,0,1,,1,ra1,,,,,133.725,0.416499,219.298246,0.071197,0.071197,219.298246,0.071197,0.071197,0,0,219.298246,7.406,18.49677,0.781591,-38.034,18.71109,2,0,219.227049,0,0,
A100401_22_158_2,A100401_22_158,0,,,,2,3,ox,ox_ra1,0,1,,1,ra1,,,,,147.775998,0.617963,341.530055,0.045107,0.045107,341.530055,0.045107,0.045107,0,0,341.530055,6.488,12.527484,0.583516,-40.584,23.99826,2,0,341.484948,0,0,
A100401_22_158_3,A100401_22_158,1,1,,,3,3,ox,ox_ra2,0,1,,2,ra2,,,,,2.308998,0.752722,0.466728,0.099845,0.099845,0.099845,0.099845,0.247806,0.099845,0,0,6.944,14.434679,0.208422,9972.48,0.902812,1,1,0.366883,0,0,
A100401_22_158_3,A100401_22_158,0,,,,3,3,ox,ox_ra2,0,1,,2,ra2,,,,,16.359999,0.727154,0.247806,0.099837,0.099837,0.099837,0.099837,0.247839,0.099837,0,0,6.887,14.030275,0.122336,9973.239,0.436692,1,1,0.14797,0,0,
A100401_22_158_3,A100401_22_158,0,,,,3,3,ox,ox_ra2,0,1,,2,ra2,,,,,30.411,0.771247,144.675926,0.099899,0.099899,0.099899,0.099899,4.770628,0.099899,0,0,7.118,14.25521,0.120557,9974.19,0.766391,2,2,144.576027,0,0,
A100401_22_158_4,A100401_22_158,0,,,0,4,3,ox,ox_sa1,0,1,,3,sa1,sa1,,,,93.69,0.55759,90.975255,0.187152,20.709079,0.217635,135.281385,0.248042,7.037955,11.83955,236.742424,8.102,16.988383,0.359421,9977.814,0.884283,6,3,90.788103,-4623.746511,-3.84071,
A100401_22_158_4,A100401_22_158,0,,,0,4,3,ox,ox_sa1,0,1,,3,sa1,sa1,,,,107.740998,0.431864,95.565749,0.078366,16.149871,85.034014,95.565749,0.078366,39.975156,38.510802,0,8.384,16.184776,0.322332,1248,20.090738,3,4,95.487383,0,0,
A100401_22_158_4,A100401_22_158,0,,,0,4,3,ox,ox_sa1,0,1,,3,sa1,sa1,,,,121.791999,0.484968,107.944732,0.244655,74.139976,1.053998,136.165577,0.156536,25.578858,29.179082,285.388128,7.655,17.745107,0.375943,6427.719,20.734333,7,8,107.700078,-3363.539988,-9.398154,
A100401_22_158_4.5,A100401_22_158,1,,,1,4.5,3,ox,ox_sa1,0,1,,3,sa1,sa1,,,,2.470998,0.462766,117.702448,7.062147,43.584379,2.609059,147.754137,0.245265,20.208434,25.957906,336.021505,6.848,17.491197,0.494829,9932.208,20.049867,7,49,110.640301,-6635.730722,0.016522,
A100401_22_158_4.5,A100401_22_158,0,,,0,4.5,3,ox,ox_sa1,0,1,,3,sa1,sa1,,,,16.521999,0.598701,85.733882,9.552193,28.267752,0.59638,103.648425,0.248104,11.640337,17.842127,212.585034,8.423,17.970881,0.374256,9978.807,0.698271,6,26,76.181689,-4503.214609,0.627555,
A100401_22_158_4.5,A100401_22_158,0,,,0,4.5,3,ox,ox_sa1,0,1,,3,sa1,sa1,,,,30.573,0.398196,87.535014,0.376005,34.664448,0.613395,87.535014,1.822211,5.406154,10.145527,0,8.366,16.97339,0.347324,9978.99,0.734057,4,11,87.159009,-5271.281785,-1.966507,
A100401_22_158_5,A100401_22_158,1,,,,5,3,ox,ox_ra1,0,1,,1,ra1,,,,,55.071,0.323271,160.25641,0.169599,7.526493,1.306739,169.376694,0.461783,2.368848,3.471886,347.222222,8.654,24.520036,1.401797,8896.926,19.440606,6,4,160.086812,142.858152,-0.731418,
A100401_22_158_5,A100401_22_158,0,,,,5,3,ox,ox_ra1,0,1,,1,ra1,,,,,69.121998,0.191121,97.809077,0.101987,1.436286,3.439547,97.809077,0.101987,19.742403,23.484412,0,8.408,26.844545,0.950785,4203.24,19.725618,4,8,97.70709,-3168.941378,-0.547177,
A100401_22_158_5,A100401_22_158,0,,,,5,3,ox,ox_ra1,0,1,,1,ra1,,,,,83.172999,0.103909,92.592593,0.071293,0.071293,92.592593,75.21059,0.071293,0,0,0,7.439,21.737413,0.788642,-10.833,19.450414,4,0,92.521299,1609.444717,0,
A100401_22_158_6,A100401_22_158,0,,,,6,3,ox,ox_ra1,0,1,,1,ra1,,,,,1.455,0.624203,68.756876,0.07127,0.07127,68.756876,68.756876,0.07127,0,0,452.898551,6.446,15.180997,0.198099,-23.682,20.61971,4,0,68.685606,0,0,
A100401_22_158_6,A100401_22_158,1,,,,6,3,ox,ox_ra1,0,1,,1,ra1,,,,,15.505998,0.760951,393.081761,0.025683,0.025683,393.081761,0.025683,0.025683,0,0,416.666667,6.536,14.053698,0.196681,-38.52,20.696369,3,0,393.056078,0,0,
A100401_22_158_6,A100401_22_158,0,,,,6,3,ox,ox_ra1,0,1,,1,ra1,,,,,54.445998,0.031936,231.481481,0.071203,0.071203,231.481481,0.071203,0.071203,0,0,434.027778,7.4,17.650639,0.313939,-35.976,21.176474,3,0,231.410279,0,0,
A100401_22_158_9,A100401_22_158,1,,,,9,3,ox,ox_ra1,0,1,,1,ra1,,,,,126.943998,2.090022,56.458898,0.071347,0.071347,56.458898,78.914141,0.071347,0,0,0,5.96,12.742974,0.218912,-6.552,22.006261,4,0,56.387551,-1267.7983,0,
A100401_22_158_9,A100401_22_158,0,,,,9,3,ox,ox_ra1,0,1,,1,ra1,,,,,140.994999,1.889558,62.189055,0.07127,0.07127,62.189055,62.189055,0.07127,0,0,204.248366,8.447,17.205544,0.264755,-20.577,21.877289,3,0,62.117785,0,0,
A100401_22_158_9,A100401_22_158,0,,,,9,3,ox,ox_ra1,0,1,,1,ra1,,,,,155.046,1.987502,0.07127,0.062836,0.062836,0.07127,0.062836,0.062836,0,0,0,9.638,19.059092,0.301599,-40.362,21.046594,1,0,0.008433,0,0,
A100401_22_158_10,A100401_22_158,1,1,,,10,3,ox,ox_sa1,0,1,,3,sa1,sa1,,,,53.538,1.434842,239.463602,17.048554,221.631206,46.193644,148.809524,22.401434,40.630777,46.105878,239.463602,14.054,5.220716,0.536781,9988.134,21.24968,8,139,222.415047,6264.030607,-7.029469,
A100401_22_158_10,A100401_22_158,0,,,0,10,3,ox,ox_sa1,0,1,,3,sa1,sa1,,,,67.668999,1.358229,146.713615,2.507925,162.760417,8.031354,107.388316,1.491718,34.531869,39.670919,0,17.567,6.98633,0.443424,9360.639,20.769572,6,102,144.20569,5086.353024,-5.586113,
A100401_22_158_10,A100401_22_158,0,,,0,10,3,ox,ox_sa1,0,1,,3,sa1,sa1,,,,81.799998,1.373922,137.061404,6.202243,66.137566,13.501836,111.4082,3.322701,34.19937,41.217094,0,19.256,7.462188,0.452917,9730.968,20.67457,5,89,130.859161,4382.745022,-2.274874,
A100401_22_158_11,A100401_22_158,0,,,,11,3,ox,ox_ra1,0,1,,1,ra1,,,,,99.037998,2.567707,82.345191,0.07108,44.899425,44.899425,104.690117,0.07108,44.899425,0,0,6.776,2.287494,0,20.952,21.565211,5,1,82.274111,-950.41781,0,
A100401_22_158_11,A100401_22_158,1,,,,11,3,ox,ox_ra1,0,1,,1,ra1,,,,,113.169,3.189188,88.652482,0.07096,71.83908,71.83908,112.007168,0.07096,71.83908,0,0,8.606,3.499974,0.078458,1.47,23.467109,5,1,88.581522,-1311.721281,0,
A100401_22_158_11,A100401_22_158,0,,,,11,3,ox,ox_ra1,0,1,,1,ra1,,,,,127.299999,3.158134,82.345191,0.070922,0.070922,82.345191,93.843844,0.070922,0,0,0,12.839,5.71031,0.111264,-4.665,21.759941,4,0,82.274269,-912.657684,0,
A100401_22_158_12,A100401_22_158,0,,,,12,3,ox,ox_ra2,0,1,,2,ra2,,,,,32.79,0.710646,239.463602,0.099257,0.099257,239.463602,257.201646,0.099257,0,0,257.201646,12.422,4.79923,0,-19.53,12.889498,5,1,239.364345,5361.914189,0,
A100401_22_158_12,A100401_22_158,1,1,,1,12,3,ox,ox_ra2,0,1,,2,ra2,,,,,46.920999,0.817524,274.122807,0.070819,0.070819,274.122807,274.122807,0.070819,0,0,274.122807,11.903,4.216423,0.238017,-25.377,10.553996,4,0,274.051988,11442.27906,0,
A100401_22_158_12,A100401_22_158,0,,,,12,3,ox,ox_ra2,0,1,,2,ra2,,,,,61.051998,0.689052,289.351852,0.060125,0.060125,289.351852,0.060125,0.060125,0,0,289.351852,14.168,5.538714,0.294868,-27.816,9.982518,3,0,289.291726,20270.14069,0,
A100401_22_158_13,A100401_22_158,0,,,,13,3,ox,ox_sa2,0,1,,4,sa2,sa1,,,,170.175,0.023311,4.176691,0.060026,0.104484,7.939533,0.104484,0.060026,23.224199,20.174816,0,230.42,19.300582,0.611707,3368.676,19.752593,0,48,4.116665,0,5.833897,
A100401_22_158_13,A100401_22_158,1,,,,13,3,ox,ox_sa2,0,1,,4,sa2,sa1,,,,190.188,0.165236,7.939533,0.107436,0.060026,14.487714,0.060026,0.107436,31.960062,45.12347,0,65.18,19.683814,0.58611,4659.852,19.284293,0,71,7.832096,0,-3.35013,
