afferenet,animal,use,popCode,dontUSE,figure,cell,treatment,treatment_text,treatment_class,Cancer,Chemotherapy,note,#NAME?,autoClass,manualClass,high_firing_Hz,receptiveField,Trial#,TrigStart.R,ms.F,Dyn.pfr,stat.halfHold,stat.firstSpikeHold,Stat.HzEnd,dyn.halfRamp,Stat.pps,Stat.avg,Stat.HzSTD,Dyn.IB,Thr.T,Thr.F,Thr.L,Stat.LSpkT,Stat.LSpkF,Dyn.spkNum,Stat.spkNum,Dyn.DI,Dyn.slp,Stat.slp,cond_delay
A100401_22_152_cell 1,A100401_22_152,0,,,,cell 1,1,wt,wt_ra2,0,0,,2,ra2,,,,,132.571998,2.726185,100.644122,0.077141,25.191455,18.667861,0.072611,0.077141,21.929658,4.612877,0,25.4,9.746059,0.091326,90.696,22.024789,3,2,100.566981,4645.768641,0,
A100401_22_152_cell 2,A100401_22_152,1,1,,,cell 2,1,wt,wt_ra1,0,0,,1,ra1,,,,,57.874998,0.300837,119.047619,0.340258,99.681021,0.612979,150.966184,0.375741,41.729989,40.688779,359.195402,7.136,2.807415,0.161316,7397.328,19.893828,9,13,118.707361,-3562.459861,-14.419319,
A100401_22_152_cell 2,A100401_22_152,0,,,,cell 2,1,wt,wt_ra1,0,0,,1,ra1,,,,,72.006,0.380074,210.43771,0.211917,34.321801,0.211917,192.901235,0.346893,11.648073,19.636276,219.298246,9.926,3.274951,0.307701,7178.166,19.886199,8,6,210.225794,-187.291166,-13.920621,
A100401_22_152_cell 2,A100401_22_152,0,,,,cell 2,1,wt,wt_ra1,0,0,,1,ra1,,,,,86.136999,0.343184,179.597701,0.184822,0.184822,0.184822,161.498708,0.18073,0.184822,0,214.776632,10.799,4.347622,0.352466,5408.031,19.521622,8,1,179.412879,345.003675,0,
A100401_22_152_cell 5,A100401_22_152,0,,,,cell 5,1,wt,wt_sa1,0,0,,3,sa1,,,,,51.586998,0.541172,153.186275,0.539626,142.694064,0.67903,153.186275,2.514281,93.450237,98.054778,289.351852,13.094,4.67915,0.26284,9621.312,19.729978,8,28,152.646649,-195.732725,-19.678338,
A100401_22_152_cell 5,A100401_22_152,1,,,,cell 5,1,wt,wt_sa1,0,0,,3,sa1,,,,,65.718,0.502934,210.43771,3.686663,212.585034,4.819184,159.033079,0.187348,31.824116,50.320033,281.531532,11.12,5.596585,0.35075,8757.318,20.1525,10,56,206.751047,-918.157806,-10.430537,
A100401_22_152_cell 5,A100401_22_152,0,,,,cell 5,1,wt,wt_sa1,0,0,,3,sa1,,,,,79.848999,0.612605,150.966184,5.393045,159.033079,0.529343,245.098039,0.239825,26.167849,37.61468,263.71308,13.967,6.008621,0.361133,9089.007,19.772667,9,38,145.573138,-3504.344114,-9.776901,
A100401_22_152_cell 6,A100401_22_152,1,,,,cell 6,1,wt,wt_ra2,0,0,,2,ra2,,,,,162.166998,1.224327,0.157468,0.125329,46.193644,26.238455,0.157468,0.240959,26.035185,9.474456,0,30.512,12.305858,0.453211,9968.88,20.777383,2,48,0.032139,0,-0.032582,
A100401_22_152_cell 6,A100401_22_152,0,,,,cell 6,1,wt,wt_ra2,0,0,,2,ra2,,,,,176.298,1.113209,0.240959,0.080429,64.102564,16.626762,0.240959,0.080429,26.224806,9.03735,0,37.958,14.672918,0.492962,1689.846,20.680019,2,41,0.16053,0,-14.927485,
A100401_22_152_cell 6,A100401_22_152,0,,,,cell 6,1,wt,wt_ra2,0,0,,2,ra2,,,,,190.428999,1.164561,0.080429,0.079012,45.989698,15.53567,0.080429,0.079012,23.281611,6.662294,0,42.191,15.998306,0.510765,1468.767,20.867848,1,32,0.001417,0,-14.22453,
A100401_22_152_cell 7,A100401_22_152,1,,,,cell 7,1,wt,wt_ra1,0,0,,1,ra1,,,,,87.756999,0.155407,133.547009,0.349482,97.352025,0.349482,165.343915,0.137357,32.651536,56.032287,0,12.191,4.953744,0.20057,6815.775,19.181025,7,3,133.197526,-1796.197042,-24.575933,
A100401_22_152_cell 7,A100401_22_152,0,,,,cell 7,1,wt,wt_ra1,0,0,,1,ra1,,,,,101.887998,0.173344,33.333333,0.070898,0.070898,33.333333,33.333333,0.070898,0,0,0,15.08,5.948519,0.189282,-4.92,17.936343,2,0,33.262436,0,0,
A100401_22_152_cell 7,A100401_22_152,0,,,,cell 7,1,wt,wt_ra1,0,0,,1,ra1,,,,,116.019,0.246298,0.070898,1.6668,0.839005,1.6668,0.839005,0.08125,18.964786,19.2925,0,18.926,7.18782,0.200286,5152.926,20.003001,1,12,-1.595902,0,-9.967812,
A100401_22_152_cell 8,A100401_22_152,1,,,,cell 8,1,wt,wt_sa1,0,0,,3,sa1,,,,,139.366998,0.234527,0.281486,1.164915,21.588946,2.965599,21.588946,2.760113,21.554887,31.837282,0,16.352,7.084424,0.641465,9666.672,19.909087,1,48,-0.883429,0,-6.30503,
